AMMN.JK,2025-04-24,6775.0,6932.406248178415,6585.411337621846
ADMR.JK,2025-04-24,970.0,987.9298296765277,961.9483855550914
ADMR.JK,2025-04-24,970.0,987.9298296765277,961.9483855550914
AMMN.JK,2025-04-24,6775.0,6932.406248178415,6585.411337621846
AMRT.JK,2025-04-24,1975.0,2034.0208870579545,1947.2567179238545
CMRY.JK,2025-04-24,4380.0,4574.191110355717,4271.023939462161
CTRA.JK,2025-04-24,860.0,871.6393273264795,844.0829828724985
FILM.JK,2025-04-24,2350.0,2533.238344893568,2276.205995684444
HEAL.JK,2025-04-24,1040.0,1082.961564794128,1026.4055737470167
ICBP.JK,2025-04-24,10700.0,10880.1585301023,10490.802437321363
INKP.JK,2025-04-24,5050.0,5180.781491902939,4863.358423107739
ISAT.JK,2025-04-24,1720.0,1809.9828138689054,1710.123055222414
JSMR.JK,2025-04-24,4310.0,4410.956984444023,4285.238743998094
MAPI.JK,2025-04-24,1340.0,1375.2494653318786,1300.2572048155673
MDKA.JK,2025-04-24,1590.0,1663.422519116042,1555.3195708158464
MIKA.JK,2025-04-24,2320.0,2389.6106937247146,2296.615715081445
MYOR.JK,2025-04-24,2310.0,2406.684910452165,2287.4522413680475
PWON.JK,2025-04-24,368.0,371.74352968772286,363.1283133214608
SRTG.JK,2025-04-24,1560.0,1586.5973874769265,1520.7024015119375
SSMS.JK,2025-04-24,1710.0,1733.3601921665006,1640.5212292262868
ADMR.JK,2025-04-24,970.0,979.5609992873292,962.358619344503
AMRT.JK,2025-04-24,1975.0,2034.0564676216084,1952.2563371213769
CTRA.JK,2025-04-24,860.0,873.9184780269575,842.3989110510636
HEAL.JK,2025-04-24,1040.0,1078.1939737168893,1025.6733569314442
ISAT.JK,2025-04-24,1720.0,1805.3150195069059,1714.6013635333154
MAPI.JK,2025-04-24,1340.0,1376.3555005553242,1292.3809325788106
MDKA.JK,2025-04-24,1590.0,1669.215158942275,1560.1178470772695
RAJA.JK,2025-04-24,1930.0,1957.3515868347763,1857.5019864486285
SRTG.JK,2025-04-24,1530.0,1562.638462146687,1499.0125833313664
SSMS.JK,2025-04-24,1720.0,1717.5494881139118,1652.0150409739733
